Movie,United States,02/02/2022,Documentary,Crime,,The Tinder Swindler,NETFLIX ORIGINAL
Movie,United States,02/17/2022,Action,Hitman,,Fistful of Vengeance,NETFLIX ORIGINAL
Movie,United States,02/11/2022,Comedy,Teens,Tall Girl,Tall Girl 2,NETFLIX ORIGINAL
Movie,Turkey,01/01/2022,Romance,Relationship,,Love Tactics,NETFLIX ORIGINAL
Movie,Spain,02/04/2022,Comedy,Rom Com,,Through My Window,NETFLIX ORIGINAL
Movie,United States,09/19/2019,Animated,For Older Kids,,Abominable,
Movie,France,02/11/2022,Science Fiction,Sci-fi comedy,,Bigbug,NETFLIX ORIGINAL
Movie,United Kingdom,12/12/2014,Fantasy,Wizards,,Seventh Son,
Movie,South Korea,02/11/2022,Comedy,Rom Com,,Love and Leashes,NETFLIX ORIGINAL
Movie,United States,02/05/1993,Thriller,Disapperance,,The Vanishing,
