TV Show,United States,02/11/2022,Drama,Crime Drama,,Inventing Anna,NETFLIX ORIGINAL
TV Show,South Korea,01/28/2022,Horror,Zombies,,All of Us are Dead,NETFLIX ORIGINAL
TV Show,Spain,09/07/2019,Crime,Prison,,Toy Boy,NETFLIX ORIGINAL
TV Show,United States,02/13/2020,Reality-Show,Relationship,,Love is Blind,NETFLIX ORIGINAL
TV Show,Italy,02/14/2022,Drama,Relationship,,"Devotion, a Story of Love and Desire",NETFLIX ORIGINAL
TV Show,Mexico,07/15/2020,Drama,Relationship,,Dark Desire,NETFLIX ORIGINAL
TV Show,United States,05/19/2020,Drama,Relationship,,Sweet Magnolias,NETFLIX ORIGINAL
TV Show,Colombia,05/25/2021,Drama,,,Café con aroma de mujer,
TV Show,United States,09/24/2018,Mystery,Supernatural,,Manifest,
TV Show,Japan,02/14/2022,Drama,Unfaithfulness,,Fishbowl Wives,NETFLIX ORIGINAL
